Country;Month;Parameter;Value
Belize;2020-02;case_number;0
Belize;2020-03;case_number;2
Belize;2020-04;case_number;16
Belize;2020-05;case_number;0
Belize;2020-06;case_number;6
Belize;2020-07;case_number;24
Belize;2020-08;case_number;822
Belize;2020-09;case_number;938
Belize;2020-10;case_number;1242
Belize;2020-11;case_number;2537
Belize;2020-12;case_number;4903
Belize;2021-01;case_number;1387
Belize;2021-02;case_number;416
Belize;2021-03;case_number;122
Belize;2021-04;case_number;184
Belize;2021-05;case_number;192
Belize;2021-06;case_number;346
Belize;2021-07;case_number;780
Belize;2021-08;case_number;2095
Belize;2021-09;case_number;3588
Belize;2021-10;case_number;7198
Belize;2021-11;case_number;3367
Belize;2021-12;case_number;1338
Belize;2022-01;case_number;18984
Belize;2022-02;case_number;6110
Belize;2022-03;case_number;634
Belize;2022-04;case_number;190
Belize;2022-05;case_number;1630
Belize;2022-06;case_number;3988
Belize;2022-07;case_number;4074
Belize;2022-08;case_number;1076
Belize;2022-09;case_number;597
Belize;2022-10;case_number;159
Belize;2022-11;case_number;69
Belize;2022-12;case_number;663
Belize;2023-01;case_number;935
Costa Rica;2020-02;case_number;0
Costa Rica;2020-03;case_number;263
Costa Rica;2020-04;case_number;424
Costa Rica;2020-05;case_number;335
Costa Rica;2020-06;case_number;1814
Costa Rica;2020-07;case_number;10833
Costa Rica;2020-08;case_number;24816
Costa Rica;2020-09;case_number;32331
Costa Rica;2020-10;case_number;31010
Costa Rica;2020-11;case_number;35267
Costa Rica;2020-12;case_number;26969
Costa Rica;2021-01;case_number;29214
Costa Rica;2021-02;case_number;11065
Costa Rica;2021-03;case_number;10837
Costa Rica;2021-04;case_number;21752
Costa Rica;2021-05;case_number;77172
Costa Rica;2021-06;case_number;46903
Costa Rica;2021-07;case_number;37603
Costa Rica;2021-08;case_number;57176
Costa Rica;2021-09;case_number;65398
Costa Rica;2021-10;case_number;38516
Costa Rica;2021-11;case_number;6862
Costa Rica;2021-12;case_number;2963
Costa Rica;2022-01;case_number;112957
Costa Rica;2022-02;case_number;119992
Costa Rica;2022-03;case_number;32254
Costa Rica;2022-04;case_number;13058
Costa Rica;2022-05;case_number;43254
Costa Rica;2022-06;case_number;62712
Costa Rica;2022-07;case_number;90635
Costa Rica;2022-08;case_number;44331
Costa Rica;2022-09;case_number;29273
Costa Rica;2022-10;case_number;17724
Costa Rica;2022-11;case_number;10422
Costa Rica;2022-12;case_number;15552
Costa Rica;2023-01;case_number;24489
Dominican Republic;2020-02;case_number;0
Dominican Republic;2020-03;case_number;581
Dominican Republic;2020-04;case_number;5345
Dominican Republic;2020-05;case_number;10982
Dominican Republic;2020-06;case_number;13711
Dominican Republic;2020-07;case_number;30277
Dominican Republic;2020-08;case_number;32830
Dominican Republic;2020-09;case_number;17231
Dominican Republic;2020-10;case_number;13061
Dominican Republic;2020-11;case_number;18635
Dominican Republic;2020-12;case_number;23287
Dominican Republic;2021-01;case_number;46613
Dominican Republic;2021-02;case_number;26456
Dominican Republic;2021-03;case_number;12573
Dominican Republic;2021-04;case_number;12362
Dominican Republic;2021-05;case_number;26582
Dominican Republic;2021-06;case_number;31545
Dominican Republic;2021-07;case_number;17598
Dominican Republic;2021-08;case_number;9951
Dominican Republic;2021-09;case_number;7314
Dominican Republic;2021-10;case_number;24040
Dominican Republic;2021-11;case_number;25537
Dominican Republic;2021-12;case_number;7376
Dominican Republic;2022-01;case_number;138944
Dominican Republic;2022-02;case_number;21240
Dominican Republic;2022-03;case_number;3770
Dominican Republic;2022-04;case_number;1238
Dominican Republic;2022-05;case_number;4080
Dominican Republic;2022-06;case_number;19195
Dominican Republic;2022-07;case_number;26371
Dominican Republic;2022-08;case_number;9361
Dominican Republic;2022-09;case_number;7283
Dominican Republic;2022-10;case_number;2186
Dominican Republic;2022-11;case_number;2129
Dominican Republic;2022-12;case_number;8903
Dominican Republic;2023-01;case_number;1600
El Salvador;2020-02;case_number;0
El Salvador;2020-03;case_number;19
El Salvador;2020-04;case_number;255
El Salvador;2020-05;case_number;2121
El Salvador;2020-06;case_number;3332
El Salvador;2020-07;case_number;8494
El Salvador;2020-08;case_number;11316
El Salvador;2020-09;case_number;2878
El Salvador;2020-10;case_number;4170
El Salvador;2020-11;case_number;5820
El Salvador;2020-12;case_number;6214
El Salvador;2021-01;case_number;9370
El Salvador;2021-02;case_number;5877
El Salvador;2021-03;case_number;3900
El Salvador;2021-04;case_number;4552
El Salvador;2021-05;case_number;4928
El Salvador;2021-06;case_number;4238
El Salvador;2021-07;case_number;7207
El Salvador;2021-08;case_number;9369
El Salvador;2021-09;case_number;9618
El Salvador;2021-10;case_number;9744
El Salvador;2021-11;case_number;4619
